Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL,ObjectYear
29.158.731,False,False,True,23345,509,Arms and Armor,1929.0,Relief sculpture,The Resurrection,British,nan,,,,,,,nan,,,,nan,,,,,,dated 1375,1375,1375,"Alabaster, polychromy, gilding",H. 16 in. (40.6 cm); W. 10 1/4 in. ( 26 cm); Wt. 12 lb. 14 oz. (5.85 kg),"Bashford Dean Memorial Collection, Funds from various donors, 1929",,possibly Nottingham,,,nan,nan,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/23345,https://www.wikidata.org/wiki/Q116394268,,"Metropolitan Museum of Art, New York, NY",Men|Christ|Resurrection,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/ia/901000087|http://vocab.getty.edu/page/aat/300404323,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q642420|https://www.wikidata.org/wiki/Q51624,1375.0
68.183,False,False,True,27388,014,Arms and Armor,1968.0,Chess piece,Chess Piece in the Form of a Knight,"Western European, possibly Germany or England",nan,,,,,,,nan,,,,nan,,,,,,ca. 1510–30,1485,1555,Ivory (elephant),L. 2 1/16 in. (5.2 cm);  H. 1 13/16 in. (4.6 cm),"Pfeiffer Fund, 1968",,nan,,,nan,nan,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/27388,https://www.wikidata.org/wiki/Q116377860,,"Metropolitan Museum of Art, New York, NY",Knights|Horses,http://vocab.getty.edu/page/aat/300230874|http://vocab.getty.edu/page/aat/300250148,https://www.wikidata.org/wiki/Q102083|https://www.wikidata.org/wiki/Q726,1510.0
68.95,False,True,True,27389,014,Arms and Armor,1968.0,Chess piece,Chess Piece in the Form of a Knight,"Western European, possibly England",nan,,,,,,,nan,,,,nan,,,,,,ca. 1350–60,1325,1385,Ivory (elephant),"H. 2 13/32 in. (6.1 cm); L. 2 3/4 in. (6.4 cm); W. 5/8 in. (1.6 cm)
","Pfeiffer Fund, 1968",,nan,,,nan,nan,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/27389,https://www.wikidata.org/wiki/Q116377852,,"Metropolitan Museum of Art, New York, NY",Knights|Men|Chess|Horses|Armor,http://vocab.getty.edu/page/aat/300230874|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300222748|http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300226591,https://www.wikidata.org/wiki/Q102083|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q718|https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q20793164,1350.0
49.120.1,False,False,True,27632,509,Arms and Armor,1949.0,Relief sculpture,The Resurrection,British,nan,,,,,,,nan,,,,nan,,,,,,15th century,1401,1500,"Alabaster, gold, polychromy",H. 21 1/4 in. (53.9 cm); W. 10 1/4 in. (26 cm); Wt. 21 lb. 15 oz. (9.95 kg),"Gift of Mrs. Bashford Dean, in memory of Alexander McMillan Welch, 1949",,nan,,,nan,nan,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/27632,https://www.wikidata.org/wiki/Q116377829,,"Metropolitan Museum of Art, New York, NY",Men|Christ|Resurrection,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/ia/901000087|http://vocab.getty.edu/page/aat/300404323,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q642420|https://www.wikidata.org/wiki/Q51624,
20.151.6,False,True,True,33284,,Arms and Armor,1920.0,Painting,"Portrait of Walter Devereux (1539–1576), First Earl of Essex",British,nan,,,,1125,Artist, ,British Painter,British, ,British Painter,British,          ,          ,,,,dated 1572,1572,1572,Oil on wood,41 1/8 x 31 1/2 in. (104.5 x 80 cm),"Rogers Fund, 1920",,nan,,,nan,nan,,,,,,Miscellaneous-Paintings & Portraits,,http://www.metmuseum.org/art/collection/search/33284,https://www.wikidata.org/wiki/Q79012093,,"Metropolitan Museum of Art, New York, NY",Men|Portraits|Armor|Coat of Arms,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300226591|http://vocab.getty.edu/page/aat/300126352,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q20793164|https://www.wikidata.org/wiki/Q14659,1572.0
29.158.743,False,False,True,34016,,Arms and Armor,1929.0,Two painted panels,Saint George and Saint Sebastian,"German, Rhineland",nan,,,,,,,nan,,,,nan,,,,,,ca. 1480,1455,1505,Oil on wood,each panel:  29 1/4 in. x 13 1/2 in. (74.3 x 34.3 cm),"Bashford Dean Memorial Collection, Funds from various donors, 1929",,nan,,,nan,nan,,,,,,Miscellaneous-Paintings & Portraits,,http://www.metmuseum.org/art/collection/search/34016,,,"Metropolitan Museum of Art, New York, NY",Armor|Dragons|Saint Sebastian|Men|Saint George,http://vocab.getty.edu/page/aat/300226591|http://vocab.getty.edu/page/aat/300375726|http://vocab.getty.edu/page/ia/901000344|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/ia/901000509,https://www.wikidata.org/wiki/Q20793164|https://www.wikidata.org/wiki/Q7559|https://www.wikidata.org/wiki/Q183332|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q48438,1480.0
29.158.753,False,False,True,34018,,Arms and Armor,1929.0,Painting,"Portrait of Duke Johann Friedrich I (1503-1554), Elector of Saxony",German,nan,,,,,,,nan,,,,nan,,,,,,ca. 1550,1525,1575,Oil on vellum,6 5/8 x 5 3/8 in. (16.8 x 13.7 cm),"Bashford Dean Memorial Collection, Funds from various donors, 1929",,nan,,,nan,nan,,,,,,Miscellaneous-Paintings & Portraits,,http://www.metmuseum.org/art/collection/search/34018,https://www.wikidata.org/wiki/Q79011908,,"Metropolitan Museum of Art, New York, NY",Portraits|Armor|Men,http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300226591|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q20793164|https://www.wikidata.org/wiki/Q8441,1550.0
29.158.754,False,False,True,34019,,Arms and Armor,1929.0,Painting,"Giovanni Battista Rota, Member of the Rota Family of Venice","Italian, Venice",nan,,,,,,,nan,,,,nan,,,,,,late 16th century,1550,1600,Oil on canvas,86 1/2 x 53 in. (219.7 x 134.6 cm),"Bashford Dean Memorial Collection, Funds from various donors, 1929",,Venice,,,nan,nan,,,,,,Miscellaneous-Paintings & Portraits,,http://www.metmuseum.org/art/collection/search/34019,https://www.wikidata.org/wiki/Q79011726,,"Metropolitan Museum of Art, New York, NY",Portraits|Armor|Men,http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300226591|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q20793164|https://www.wikidata.org/wiki/Q8441,
29.158.755,False,False,True,34020,,Arms and Armor,1929.0,Painting,Portrait of a Man in Armor,"Spanish, Seville",nan,,,,,,,nan,,,,nan,,,,,,early 17th century,1600,1650,Oil on canvas,81 x 43 in. (205.7 x 109.2 cm),"Bashford Dean Memorial Collection, Funds from various donors, 1929",,Seville,,,nan,nan,,,,,,Miscellaneous-Paintings & Portraits,,http://www.metmuseum.org/art/collection/search/34020,https://www.wikidata.org/wiki/Q79011516,,"Metropolitan Museum of Art, New York, NY",Portraits|Armor|Men,http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300226591|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q20793164|https://www.wikidata.org/wiki/Q8441,
29.158.761,False,False,True,34025,305,Arms and Armor,1929.0,Tomb slab,Tomb Effigy of Jacquelin de Ferrière,North French,nan,,,,,,,nan,,,,nan,,,,,,ca. 1275–1300,1250,1325,"Limestone, wood","overall, with frame: H. 73 3/4 in. (187.3 cm); W. 24 5/8 in. (62.5 cm); D. 5 in. (12.7 cm)","Bashford Dean Memorial Collection, Funds from various donors, 1929",,nan,,,nan,nan,,,,,,Miscellaneous-Paintings & Portraits,,http://www.metmuseum.org/art/collection/search/34025,https://www.wikidata.org/wiki/Q116234911,,"Metropolitan Museum of Art, New York, NY",Men,http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q8441,1275.0
